row_label,elapsed_h,sampling_volume,circulation_mL_min,circulation_rpm,filtration_uL_min,Flow rate | cm,Flow rate | time,filtration_amount_L_m2,Filtration amount | Cumulative,pressure_in_kPa,pressure_out_kPa,back_pressure_kPa,tmp_kPa,temperature_C,cell_density_cho_1e5_mL,viability_cho_pct,cell_density_matsuda_1e5_mL,viability_matsuda_pct,glc_g_L,glu_mmol_L,gln_mmol_L,lln_g_L,feed_antibody_g_L,filtrate_antibody_g_L,transmission_pct,antibody_g_m2_1,antibody_g_m2_2,cumulative_transmission_pct,turbidity_feed_od600,turbidity_filtrate_od600,turbidity_plate_reader,ldh_activity_unit,LDH,LDH_2,LDH_3,LDH_4,LDH_5,source_file,experiment,shear_rate,lmh_level,condition,record_sheet,Date removed,Time,flow_pct_initial,Flow rate | %,cell_density_1e5_mL,viability_pct,LDH_6,filtration_flow_cumulative_pct,flow_ratio_pct,Turbidity OD600
Filtration start,0.0,"2.0, 0.0",8.05,920.0,,,,0.0,,1.5,-1.0,-0.4,0.7,9.4,146.0,94.8,,,3.14,0.48,0.32,0.5,0.4960907442,,,,,,1.225,,1.2252,497.992,574.005,535.9985,53.74930776,,0.31,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,2.0,,8.05,950.0,,,,,,1.3,-1.3,-0.8,0.8,4.5,,,,,,,,,,,,,,,,,,,,,,,1.0,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,17.5,"1.5, 1.5",8.05,960.0,5.110791640502591,2.3,0.5661111111111111,17.887770741759073,101.69380461303825,1.4,-1.3,-1.0,1.1,3.6,137.0,93.5,,,3.16,0.5,0.28,0.56,0.4944417638,0.4880146336,98.70012392347186,8.859209207681818,8.729493884460355,98.53581374837624,,0.006,0.0055,610.58,740.681,675.6305,91.99529934,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,24.0,"1.5, 1.5",8.05,950.0,4.962855682355821,2.0,0.5069444444444444,24.43564150161704,101.2951909432291,1.3,-1.3,-1.0,1.1,3.5,153.0,94.5,,,3.08,0.5,0.28,0.58,0.4955504218,0.4870175536,98.27810292865742,3.2411704422890613,3.1921923742436205,98.52324144831825,,0.007,0.0067,,,,,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,42.5,"1.5, 1.5",8.05,960.0,5.086035276448436,2.5,0.6183333333333334,43.02608977540492,100.72082472813264,1.4,-1.3,-1.0,1.1,3.3,150.0,94.3,,,2.98,0.48,0.28,0.6,0.4935892604,0.4864321252,98.5499815789752,9.194275048745041,9.048432950433412,98.47597674547828,,0.006,0.0061,,,,,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,65.5,,,960.0,,,,,,1.4,-1.3,-1.0,1.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,66.0,"1.5, 1.5",8.05,940.0,5.0173310165794645,2.7,0.6769444444444445,66.76900056402049,100.64849012044306,1.4,-1.3,-1.0,1.1,4.5,162.0,93.7,,,2.92,0.5,0.26,0.64,0.5027857102000001,0.4966994003,98.78948232288084,11.82842101948263,11.671202051711015,98.54556243070911,,0.007,0.0067,,,,,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,89.5,"1.5, 1.5",8.05,950.0,5.0883211349996476,2.3,0.5686111111111111,90.5172831202314,100.62011260656902,1.4,-1.3,-1.0,1.1,3.4,145.0,92.2,,,2.86,0.52,0.26,0.64,0.5029401422,0.4972196431000001,98.86258848319865,11.942130858440635,11.801935140331027,98.61988832914356,,0.006,0.0055,701.442,840.448,770.945,98.29208523,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,97.5,,8.05,950.0,,,,,,1.3,-1.3,-1.0,1.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,113.5,"1.5, 1.5",8.05,960.0,4.958327529360972,2.4000000000000004,0.6088888888888888,114.62923991469688,100.4791321565715,1.4,-1.3,-1.1,1.1,3.4,149.0,91.6,,,2.72,0.5,0.28,0.64,0.5037697316,0.4976658068000001,98.78835022886079,12.136872490813703,11.994317491715579,98.66350107020345,,0.007,0.0072,844.038,889.891,866.9645,32.42296724,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,121.5,,8.05,960.0,,,,,,1.4,-1.3,-1.0,1.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,138.0,"1.5, 1.5",8.05,960.0,5.213559686158831,2.9,0.6997222222222222,139.5503635927204,100.60700259877584,1.4,-1.3,-1.0,1.1,3.5,153.0,91.6,,,2.62,0.5,0.24,0.74,0.5042038303,0.4980386153,98.7772375714933,12.559916900143898,12.407036524954519,98.68497806431259,,0.006,0.006,913.502,1013.241,963.3715,70.52612325,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,146.5,,8.05,960.0,,,,,,1.4,-1.3,-1.0,1.1,3.4,,,,,,,,,,,,,,,,,,,,,,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
,161.5,"1.5, 1.5",8.05,960.0,5.082413641421862,2.9,0.7177777777777777,163.74590091253503,100.87283682413867,1.4,-1.3,-1.0,1.1,3.3,160.0,89.9,,,2.7,0.52,0.24,0.76,0.511118314,0.5035562984,98.52049605876577,12.283132417022435,12.117063556882433,98.67944089890611,,0.01,0.0099,1056.513,1242.043,1149.278,131.1895211,,,01_Perfusion-shear_rate_500_LMH_1.xlsx,01_Perfusion-shear_rate_500_LMH_1,500.0,1.0,500 shear / LMH 1,01-record,,,,,,,,,,
